,OA,Wellbeing_Acorn_group,Wellbeing_Acorn_type,Wellbeing Acorn Group_frequency_count,Wellbeing Acorn Type_frequency_count
451,E00023888,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 3, '5. Not Private Households': 1}","{'22. Gym & juices': 5, '18. Cultural concerns': 3, '28. Business addresses etc.': 1}"
452,E00023889,4. Healthy,21. Sensible seniors,{'4. Healthy': 7},"{'21. Sensible seniors': 4, '22. Gym & juices': 3}"
453,E00023890,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 1}"
454,E00023891,3. Caution,18. Cultural concerns,"{'3. Caution': 11, '5. Not Private Households': 2}","{'18. Cultural concerns': 11, '28. Business addresses etc.': 1, '27. Inactive communal population': 1}"
455,E00023892,2. At Risk,8. Despondent diversity,"{'2. At Risk': 5, '4. Healthy': 2, '5. Not Private Households': 1}","{'8. Despondent diversity': 5, '22. Gym & juices': 1, '28. Business addresses etc.': 1, '21. Sensible seniors': 1}"
456,E00023893,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 9, '5. Not Private Households': 2}","{'24. Five-a-day greys': 7, '22. Gym & juices': 2, '28. Business addresses etc.': 2}"
457,E00023894,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 2}","{'22. Gym & juices': 5, '18. Cultural concerns': 2}"
458,E00023895,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 3, '3. Caution': 2}","{'24. Five-a-day greys': 2, '18. Cultural concerns': 2, '22. Gym & juices': 1}"
459,E00023896,4. Healthy,24. Five-a-day greys,{'4. Healthy': 4},{'24. Five-a-day greys': 4}
460,E00023897,4. Healthy,22. Gym & juices,{'4. Healthy': 4},"{'22. Gym & juices': 3, '24. Five-a-day greys': 1}"
461,E00023898,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 2}","{'22. Gym & juices': 4, '18. Cultural concerns': 2}"
462,E00023899,3. Caution,18. Cultural concerns,"{'3. Caution': 4, '5. Not Private Households': 3, '4. Healthy': 2}","{'18. Cultural concerns': 4, '22. Gym & juices': 2, '28. Business addresses etc.': 2, '26. Active communal population': 1}"
463,E00023900,undefined,undefined,{},{}
464,E00023901,4. Healthy,21. Sensible seniors,{'4. Healthy': 2},{'21. Sensible seniors': 2}
465,E00023902,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 1}","{'22. Gym & juices': 3, '21. Sensible seniors': 1, '18. Cultural concerns': 1}"
466,E00023903,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 2, '5. Not Private Households': 1}","{'24. Five-a-day greys': 2, '28. Business addresses etc.': 1}"
467,E00023904,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 2}","{'18. Cultural concerns': 3, '22. Gym & juices': 1, '24. Five-a-day greys': 1}"
468,E00023905,3. Caution,18. Cultural concerns,"{'3. Caution': 4, '5. Not Private Households': 1}","{'18. Cultural concerns': 4, '28. Business addresses etc.': 1}"
469,E00023906,4. Healthy,21. Sensible seniors,{'4. Healthy': 2},{'21. Sensible seniors': 2}
470,E00023907,4. Healthy,22. Gym & juices,{'4. Healthy': 5},"{'22. Gym & juices': 4, '24. Five-a-day greys': 1}"
471,E00023908,4. Healthy,21. Sensible seniors,{'4. Healthy': 2},{'21. Sensible seniors': 2}
472,E00023909,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '1. Health Challenges': 1, '3. Caution': 1}","{'22. Gym & juices': 5, '1. Limited living': 1, '18. Cultural concerns': 1}"
473,E00023910,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '5. Not Private Households': 1}","{'18. Cultural concerns': 5, '28. Business addresses etc.': 1}"
474,E00023911,1. Health Challenges,1. Limited living,{'1. Health Challenges': 4},{'1. Limited living': 4}
475,E00023912,4. Healthy,21. Sensible seniors,"{'4. Healthy': 2, '2. At Risk': 1, '1. Health Challenges': 1}","{'21. Sensible seniors': 2, '8. Despondent diversity': 1, '1. Limited living': 1}"
476,E00023913,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '4. Healthy': 2}","{'18. Cultural concerns': 5, '22. Gym & juices': 2}"
477,E00023914,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '3. Caution': 3}","{'22. Gym & juices': 4, '18. Cultural concerns': 3, '24. Five-a-day greys': 2}"
478,E00023916,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '5. Not Private Households': 2}","{'22. Gym & juices': 3, '28. Business addresses etc.': 2}"
479,E00023917,4. Healthy,21. Sensible seniors,"{'4. Healthy': 4, '2. At Risk': 3}","{'21. Sensible seniors': 3, '8. Despondent diversity': 3, '22. Gym & juices': 1}"
480,E00023918,4. Healthy,24. Five-a-day greys,{'4. Healthy': 6},"{'24. Five-a-day greys': 3, '22. Gym & juices': 3}"
481,E00023919,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '5. Not Private Households': 4, '4. Healthy': 4}","{'18. Cultural concerns': 5, '28. Business addresses etc.': 4, '22. Gym & juices': 4}"
482,E00023920,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 3, '5. Not Private Households': 3, '3. Caution': 2}","{'24. Five-a-day greys': 3, '28. Business addresses etc.': 3, '18. Cultural concerns': 2}"
483,E00023921,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 20, '5. Not Private Households': 3}","{'24. Five-a-day greys': 20, '28. Business addresses etc.': 3}"
484,E00023922,4. Healthy,18. Cultural concerns,"{'4. Healthy': 5, '3. Caution': 3, '5. Not Private Households': 1}","{'18. Cultural concerns': 3, '22. Gym & juices': 3, '24. Five-a-day greys': 2, '28. Business addresses etc.': 1}"
485,E00023923,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '4. Healthy': 1}","{'18. Cultural concerns': 5, '22. Gym & juices': 1}"
486,E00023924,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '5. Not Private Households': 2, '4. Healthy': 1}","{'18. Cultural concerns': 3, '27. Inactive communal population': 2, '22. Gym & juices': 1}"
487,E00023925,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '5. Not Private Households': 1}","{'22. Gym & juices': 5, '26. Active communal population': 1}"
488,E00023926,4. Healthy,21. Sensible seniors,"{'4. Healthy': 5, '2. At Risk': 2, '5. Not Private Households': 1}","{'21. Sensible seniors': 4, '8. Despondent diversity': 2, '22. Gym & juices': 1, '28. Business addresses etc.': 1}"
489,E00023927,4. Healthy,22. Gym & juices,"{'4. Healthy': 11, '5. Not Private Households': 4, '3. Caution': 2}","{'22. Gym & juices': 6, '21. Sensible seniors': 4, '28. Business addresses etc.': 2, '18. Cultural concerns': 2, '24. Five-a-day greys': 1, '26. Active communal population': 1, '27. Inactive communal population': 1}"
490,E00023928,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 37, '4. Healthy': 12}","{'28. Business addresses etc.': 37, '22. Gym & juices': 11, '24. Five-a-day greys': 1}"
491,E00023929,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 108, '4. Healthy': 17, '3. Caution': 1}","{'28. Business addresses etc.': 108, '22. Gym & juices': 16, '21. Sensible seniors': 1, '15. Borderline behaviours': 1}"
492,E00023930,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 133, '4. Healthy': 9, '3. Caution': 6, '1. Health Challenges': 1}","{'28. Business addresses etc.': 132, '18. Cultural concerns': 6, '22. Gym & juices': 5, '24. Five-a-day greys': 4, '3. Hardship heartlands': 1, '27. Inactive communal population': 1}"
493,E00023931,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 41, '3. Caution': 9, '4. Healthy': 9}","{'28. Business addresses etc.': 40, '18. Cultural concerns': 9, '22. Gym & juices': 7, '24. Five-a-day greys': 2, '27. Inactive communal population': 1}"
494,E00023932,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 31, '4. Healthy': 10, '3. Caution': 2}","{'28. Business addresses etc.': 31, '22. Gym & juices': 6, '18. Cultural concerns': 2, '24. Five-a-day greys': 2, '21. Sensible seniors': 2}"
495,E00023933,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 45, '4. Healthy': 7, '3. Caution': 2, '1. Health Challenges': 1}","{'28. Business addresses etc.': 45, '22. Gym & juices': 6, '18. Cultural concerns': 2, '1. Limited living': 1, '24. Five-a-day greys': 1}"
496,E00023934,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 47, '4. Healthy': 8, '3. Caution': 4}","{'28. Business addresses etc.': 46, '18. Cultural concerns': 4, '22. Gym & juices': 4, '24. Five-a-day greys': 4, '26. Active communal population': 1}"
497,E00023935,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 90, '4. Healthy': 8, '3. Caution': 4}","{'28. Business addresses etc.': 89, '24. Five-a-day greys': 5, '18. Cultural concerns': 4, '22. Gym & juices': 3, '27. Inactive communal population': 1}"
498,E00023936,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 56, '4. Healthy': 6, '3. Caution': 4}","{'28. Business addresses etc.': 55, '22. Gym & juices': 4, '18. Cultural concerns': 4, '24. Five-a-day greys': 2, '26. Active communal population': 1}"
499,E00023937,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 54, '3. Caution': 8, '4. Healthy': 8}","{'28. Business addresses etc.': 54, '18. Cultural concerns': 8, '22. Gym & juices': 6, '24. Five-a-day greys': 2}"
500,E00023938,5. Not Private Households,22. Gym & juices,"{'5. Not Private Households': 6, '4. Healthy': 5, '3. Caution': 2}","{'22. Gym & juices': 5, '28. Business addresses etc.': 4, '18. Cultural concerns': 2, '26. Active communal population': 2}"
501,E00023939,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 40, '4. Healthy': 5, '3. Caution': 4}","{'28. Business addresses etc.': 38, '18. Cultural concerns': 4, '24. Five-a-day greys': 3, '26. Active communal population': 2, '22. Gym & juices': 2}"
502,E00023941,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 17, '4. Healthy': 8}","{'28. Business addresses etc.': 17, '22. Gym & juices': 7, '24. Five-a-day greys': 1}"
503,E00023942,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 15, '3. Caution': 1, '4. Healthy': 1}","{'28. Business addresses etc.': 13, '26. Active communal population': 2, '18. Cultural concerns': 1, '22. Gym & juices': 1}"
504,E00023943,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 5, '4. Healthy': 3, '2. At Risk': 2, '3. Caution': 2}","{'28. Business addresses etc.': 5, '8. Despondent diversity': 2, '22. Gym & juices': 2, '18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
505,E00023944,2. At Risk,8. Despondent diversity,"{'2. At Risk': 6, '1. Health Challenges': 1}","{'8. Despondent diversity': 6, '1. Limited living': 1}"
506,E00023945,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 56, '4. Healthy': 16, '3. Caution': 2}","{'28. Business addresses etc.': 56, '22. Gym & juices': 15, '18. Cultural concerns': 2, '25. Healthy, wealthy & wine': 1}"
507,E00023946,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 16, '3. Caution': 9, '4. Healthy': 6}","{'28. Business addresses etc.': 12, '18. Cultural concerns': 9, '22. Gym & juices': 6, '26. Active communal population': 4}"
508,E00023947,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 15, '4. Healthy': 8}","{'28. Business addresses etc.': 14, '24. Five-a-day greys': 3, '22. Gym & juices': 3, '21. Sensible seniors': 2, '26. Active communal population': 1}"
509,E00023948,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 6, '5. Not Private Households': 3, '3. Caution': 3}","{'24. Five-a-day greys': 3, '18. Cultural concerns': 3, '22. Gym & juices': 2, '28. Business addresses etc.': 2, '21. Sensible seniors': 1, '27. Inactive communal population': 1}"
510,E00023949,4. Healthy,21. Sensible seniors,"{'4. Healthy': 9, '2. At Risk': 1, '1. Health Challenges': 1}","{'21. Sensible seniors': 6, '22. Gym & juices': 3, '8. Despondent diversity': 1, '3. Hardship heartlands': 1}"
511,E00023950,2. At Risk,8. Despondent diversity,"{'2. At Risk': 6, '1. Health Challenges': 1}","{'8. Despondent diversity': 6, '1. Limited living': 1}"
512,E00023951,2. At Risk,8. Despondent diversity,"{'2. At Risk': 7, '5. Not Private Households': 2, '4. Healthy': 1}","{'8. Despondent diversity': 7, '28. Business addresses etc.': 1, '26. Active communal population': 1, '22. Gym & juices': 1}"
513,E00023953,4. Healthy,28. Business addresses etc.,"{'4. Healthy': 3, '5. Not Private Households': 3}","{'28. Business addresses etc.': 3, '24. Five-a-day greys': 2, '22. Gym & juices': 1}"
514,E00023954,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 2}","{'18. Cultural concerns': 3, '22. Gym & juices': 1, '21. Sensible seniors': 1}"
515,E00023955,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 13, '4. Healthy': 7}","{'28. Business addresses etc.': 12, '22. Gym & juices': 4, '21. Sensible seniors': 3, '26. Active communal population': 1}"
516,E00023956,4. Healthy,21. Sensible seniors,"{'4. Healthy': 6, '3. Caution': 2}","{'21. Sensible seniors': 5, '18. Cultural concerns': 2, '22. Gym & juices': 1}"
517,E00023957,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 10, '4. Healthy': 4, '3. Caution': 2}","{'28. Business addresses etc.': 10, '21. Sensible seniors': 2, '18. Cultural concerns': 2, '22. Gym & juices': 1, '24. Five-a-day greys': 1}"
518,E00023958,2. At Risk,8. Despondent diversity,"{'2. At Risk': 6, '5. Not Private Households': 3}","{'8. Despondent diversity': 6, '28. Business addresses etc.': 2, '26. Active communal population': 1}"
519,E00023959,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 11, '4. Healthy': 6}","{'28. Business addresses etc.': 11, '21. Sensible seniors': 4, '22. Gym & juices': 2}"
520,E00023960,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 11, '2. At Risk': 5, '4. Healthy': 4}","{'28. Business addresses etc.': 11, '8. Despondent diversity': 5, '21. Sensible seniors': 3, '22. Gym & juices': 1}"
521,E00023963,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 3, '3. Caution': 1}","{'24. Five-a-day greys': 2, '22. Gym & juices': 1, '18. Cultural concerns': 1}"
522,E00023964,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 1, '5. Not Private Households': 1}","{'18. Cultural concerns': 2, '22. Gym & juices': 1, '27. Inactive communal population': 1}"
523,E00023965,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '5. Not Private Households': 2}","{'18. Cultural concerns': 2, '28. Business addresses etc.': 2}"
524,E00023966,4. Healthy,21. Sensible seniors,"{'4. Healthy': 2, '3. Caution': 1}","{'21. Sensible seniors': 2, '18. Cultural concerns': 1}"
525,E00023967,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 2, '3. Caution': 1}","{'24. Five-a-day greys': 2, '18. Cultural concerns': 1}"
526,E00023968,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1}","{'18. Cultural concerns': 3, '22. Gym & juices': 1}"
527,E00023969,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 1}","{'18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
528,E00023971,1. Health Challenges,1. Limited living,"{'1. Health Challenges': 1, '2. At Risk': 1, '4. Healthy': 1}","{'1. Limited living': 1, '8. Despondent diversity': 1, '21. Sensible seniors': 1}"
529,E00023972,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 3, '3. Caution': 1, '5. Not Private Households': 1}","{'24. Five-a-day greys': 3, '18. Cultural concerns': 1, '27. Inactive communal population': 1}"
530,E00023973,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 5, '4. Healthy': 4, '3. Caution': 3}","{'28. Business addresses etc.': 5, '18. Cultural concerns': 3, '22. Gym & juices': 2, '24. Five-a-day greys': 2}"
531,E00023974,2. At Risk,8. Despondent diversity,"{'2. At Risk': 4, '1. Health Challenges': 1}","{'8. Despondent diversity': 4, '3. Hardship heartlands': 1}"
532,E00023975,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 8, '3. Caution': 1, '5. Not Private Households': 1}","{'24. Five-a-day greys': 7, '22. Gym & juices': 1, '18. Cultural concerns': 1, '27. Inactive communal population': 1}"
533,E00023976,4. Healthy,24. Five-a-day greys,{'4. Healthy': 2},"{'24. Five-a-day greys': 1, '22. Gym & juices': 1}"
534,E00023977,3. Caution,18. Cultural concerns,"{'3. Caution': 1, '4. Healthy': 1}","{'18. Cultural concerns': 1, '22. Gym & juices': 1}"
535,E00023978,4. Healthy,21. Sensible seniors,{'4. Healthy': 3},{'21. Sensible seniors': 3}
536,E00023979,4. Healthy,22. Gym & juices,{'4. Healthy': 1},{'22. Gym & juices': 1}
537,E00023980,2. At Risk,8. Despondent diversity,{'2. At Risk': 2},{'8. Despondent diversity': 2}
538,E00023981,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 1}","{'18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
539,E00023982,2. At Risk,8. Despondent diversity,{'2. At Risk': 4},{'8. Despondent diversity': 4}
540,E00023985,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '5. Not Private Households': 3}","{'21. Sensible seniors': 3, '28. Business addresses etc.': 3}"
541,E00023986,4. Healthy,21. Sensible seniors,"{'4. Healthy': 2, '5. Not Private Households': 1}","{'21. Sensible seniors': 2, '28. Business addresses etc.': 1}"
542,E00023987,4. Healthy,21. Sensible seniors,{'4. Healthy': 3},{'21. Sensible seniors': 3}
543,E00023988,4. Healthy,21. Sensible seniors,"{'4. Healthy': 1, '3. Caution': 1}","{'21. Sensible seniors': 1, '15. Borderline behaviours': 1}"
544,E00023989,2. At Risk,8. Despondent diversity,"{'2. At Risk': 1, '4. Healthy': 1}","{'8. Despondent diversity': 1, '21. Sensible seniors': 1}"
545,E00023990,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '1. Health Challenges': 1}","{'21. Sensible seniors': 3, '1. Limited living': 1}"
546,E00023991,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1}","{'18. Cultural concerns': 3, '22. Gym & juices': 1}"
547,E00023992,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 2}","{'18. Cultural concerns': 2, '24. Five-a-day greys': 1, '22. Gym & juices': 1}"
548,E00023993,4. Healthy,21. Sensible seniors,"{'4. Healthy': 5, '2. At Risk': 1, '5. Not Private Households': 1}","{'21. Sensible seniors': 3, '22. Gym & juices': 2, '8. Despondent diversity': 1, '28. Business addresses etc.': 1}"
549,E00023994,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '3. Caution': 1}","{'21. Sensible seniors': 3, '15. Borderline behaviours': 1}"
550,E00023995,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 2, '4. Healthy': 1}","{'28. Business addresses etc.': 2, '21. Sensible seniors': 1}"
551,E00023996,4. Healthy,18. Cultural concerns,"{'4. Healthy': 3, '3. Caution': 2}","{'18. Cultural concerns': 2, '24. Five-a-day greys': 2, '22. Gym & juices': 1}"
552,E00023997,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 2}","{'22. Gym & juices': 2, '18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
553,E00023998,4. Healthy,24. Five-a-day greys,{'4. Healthy': 1},{'24. Five-a-day greys': 1}
554,E00023999,3. Caution,18. Cultural concerns,{'3. Caution': 2},{'18. Cultural concerns': 2}
555,E00024001,4. Healthy,22. Gym & juices,"{'4. Healthy': 10, '5. Not Private Households': 2, '3. Caution': 2}","{'22. Gym & juices': 6, '24. Five-a-day greys': 3, '18. Cultural concerns': 2, '21. Sensible seniors': 1, '26. Active communal population': 1, '28. Business addresses etc.': 1}"
556,E00024002,4. Healthy,21. Sensible seniors,"{'4. Healthy': 9, '5. Not Private Households': 2, '3. Caution': 1}","{'21. Sensible seniors': 4, '22. Gym & juices': 3, '28. Business addresses etc.': 2, '24. Five-a-day greys': 2, '18. Cultural concerns': 1}"
557,E00024004,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 2, '5. Not Private Households': 1}","{'18. Cultural concerns': 2, '22. Gym & juices': 2, '28. Business addresses etc.': 1}"
558,E00024005,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 15, '4. Healthy': 4, '3. Caution': 2, '1. Health Challenges': 1}","{'28. Business addresses etc.': 15, '22. Gym & juices': 3, '18. Cultural concerns': 2, '24. Five-a-day greys': 1, '3. Hardship heartlands': 1}"
559,E00024006,4. Healthy,18. Cultural concerns,"{'4. Healthy': 5, '3. Caution': 4, '5. Not Private Households': 3}","{'18. Cultural concerns': 4, '24. Five-a-day greys': 3, '28. Business addresses etc.': 2, '22. Gym & juices': 2, '26. Active communal population': 1}"
560,E00024007,3. Caution,18. Cultural concerns,"{'3. Caution': 6, '5. Not Private Households': 3, '4. Healthy': 2}","{'18. Cultural concerns': 6, '28. Business addresses etc.': 3, '22. Gym & juices': 2}"
561,E00024008,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 8, '4. Healthy': 4, '3. Caution': 2}","{'28. Business addresses etc.': 6, '21. Sensible seniors': 3, '26. Active communal population': 2, '18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
562,E00024009,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '2. At Risk': 1, '1. Health Challenges': 1}","{'22. Gym & juices': 2, '13. Regular revellers': 1, '24. Five-a-day greys': 1, '1. Limited living': 1}"
563,E00024010,2. At Risk,8. Despondent diversity,"{'2. At Risk': 3, '4. Healthy': 1, '3. Caution': 1}","{'8. Despondent diversity': 3, '22. Gym & juices': 1, '15. Borderline behaviours': 1}"
564,E00024011,2. At Risk,8. Despondent diversity,"{'2. At Risk': 4, '5. Not Private Households': 1}","{'8. Despondent diversity': 4, '28. Business addresses etc.': 1}"
565,E00024012,4. Healthy,21. Sensible seniors,{'4. Healthy': 3},{'21. Sensible seniors': 3}
566,E00024013,4. Healthy,21. Sensible seniors,"{'4. Healthy': 5, '2. At Risk': 4, '1. Health Challenges': 1}","{'21. Sensible seniors': 5, '8. Despondent diversity': 4, '3. Hardship heartlands': 1}"
567,E00024014,4. Healthy,21. Sensible seniors,{'4. Healthy': 5},"{'21. Sensible seniors': 4, '22. Gym & juices': 1}"
568,E00024016,2. At Risk,8. Despondent diversity,{'2. At Risk': 3},{'8. Despondent diversity': 3}
569,E00024017,4. Healthy,21. Sensible seniors,"{'4. Healthy': 4, '5. Not Private Households': 1, '2. At Risk': 1}","{'21. Sensible seniors': 4, '28. Business addresses etc.': 1, '8. Despondent diversity': 1}"
570,E00024018,4. Healthy,22. Gym & juices,{'4. Healthy': 3},"{'22. Gym & juices': 2, '21. Sensible seniors': 1}"
571,E00024019,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '5. Not Private Households': 1}","{'22. Gym & juices': 2, '24. Five-a-day greys': 1, '28. Business addresses etc.': 1}"
572,E00024020,4. Healthy,8. Despondent diversity,"{'4. Healthy': 3, '2. At Risk': 2, '5. Not Private Households': 1}","{'8. Despondent diversity': 2, '22. Gym & juices': 2, '21. Sensible seniors': 1, '28. Business addresses etc.': 1}"
573,E00024021,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '2. At Risk': 1}","{'22. Gym & juices': 1, '8. Despondent diversity': 1, '21. Sensible seniors': 1}"
574,E00024022,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 4, '5. Not Private Households': 3, '3. Caution': 2}","{'24. Five-a-day greys': 3, '27. Inactive communal population': 2, '18. Cultural concerns': 2, '28. Business addresses etc.': 1, '22. Gym & juices': 1}"
575,E00024023,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '3. Caution': 1}","{'21. Sensible seniors': 2, '18. Cultural concerns': 1, '22. Gym & juices': 1}"
576,E00024024,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 8, '4. Healthy': 6}","{'28. Business addresses etc.': 7, '22. Gym & juices': 6, '27. Inactive communal population': 1}"
577,E00024025,3. Caution,18. Cultural concerns,"{'3. Caution': 6, '5. Not Private Households': 2, '4. Healthy': 2}","{'18. Cultural concerns': 6, '27. Inactive communal population': 1, '24. Five-a-day greys': 1, '28. Business addresses etc.': 1, '21. Sensible seniors': 1}"
578,E00024026,4. Healthy,22. Gym & juices,{'4. Healthy': 5},"{'22. Gym & juices': 4, '21. Sensible seniors': 1}"
579,E00024028,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 7, '4. Healthy': 6, '1. Health Challenges': 1}","{'28. Business addresses etc.': 6, '24. Five-a-day greys': 2, '21. Sensible seniors': 2, '22. Gym & juices': 2, '1. Limited living': 1, '27. Inactive communal population': 1}"
580,E00024029,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 1}","{'22. Gym & juices': 3, '18. Cultural concerns': 1, '24. Five-a-day greys': 1}"
581,E00024030,4. Healthy,22. Gym & juices,"{'4. Healthy': 7, '5. Not Private Households': 4, '3. Caution': 2}","{'22. Gym & juices': 7, '28. Business addresses etc.': 4, '18. Cultural concerns': 2}"
582,E00024031,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 8, '3. Caution': 4, '4. Healthy': 1}","{'28. Business addresses etc.': 8, '18. Cultural concerns': 4, '22. Gym & juices': 1}"
583,E00024032,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 5, '3. Caution': 3, '4. Healthy': 2}","{'28. Business addresses etc.': 5, '18. Cultural concerns': 3, '24. Five-a-day greys': 2}"
584,E00024033,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 2}","{'18. Cultural concerns': 3, '24. Five-a-day greys': 1, '22. Gym & juices': 1}"
585,E00024034,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1, '1. Health Challenges': 1}","{'18. Cultural concerns': 3, '21. Sensible seniors': 1, '1. Limited living': 1}"
586,E00024036,4. Healthy,21. Sensible seniors,{'4. Healthy': 3},"{'21. Sensible seniors': 2, '22. Gym & juices': 1}"
587,E00024037,3. Caution,18. Cultural concerns,{'3. Caution': 1},{'18. Cultural concerns': 1}
588,E00024038,3. Caution,18. Cultural concerns,{'3. Caution': 5},{'18. Cultural concerns': 5}
589,E00024039,4. Healthy,22. Gym & juices,{'4. Healthy': 3},"{'22. Gym & juices': 2, '21. Sensible seniors': 1}"
590,E00024040,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 2}","{'18. Cultural concerns': 3, '22. Gym & juices': 2}"
591,E00024041,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 1}","{'22. Gym & juices': 2, '21. Sensible seniors': 1, '18. Cultural concerns': 1}"
592,E00024042,3. Caution,18. Cultural concerns,"{'3. Caution': 4, '4. Healthy': 1}","{'18. Cultural concerns': 4, '22. Gym & juices': 1}"
593,E00024043,4. Healthy,22. Gym & juices,{'4. Healthy': 7},{'22. Gym & juices': 7}
594,E00024044,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 1}","{'22. Gym & juices': 3, '18. Cultural concerns': 1}"
595,E00024045,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '5. Not Private Households': 1}","{'22. Gym & juices': 4, '28. Business addresses etc.': 1}"
596,E00024046,3. Caution,18. Cultural concerns,"{'3. Caution': 5, '4. Healthy': 3}","{'18. Cultural concerns': 5, '22. Gym & juices': 3}"
